Employee_ID,Tasks_Assigned,Tasks_Completed,Avg_TAT_Hours,Error_Rate,Quality_Score,Escalations,Rework_Count,Experience_Years,Team,Shift,SLA_Status
EMP_4976,110,104,6.07,9.67,84.65,5,13,9.2,Moderation,Day,Breached
EMP_7266,124,93,6.74,14.3,92.8,2,13,4.6,Moderation,Day,Breached
EMP_1818,135,134,7.63,10.54,84.07,1,7,5.6,Support,Night,Breached
EMP_633,173,131,6.26,11.93,92.26,3,0,4.7,QA,Day,Met
EMP_304,95,95,5.54,6.33,87.22,1,12,0.5,Moderation,Day,Met
EMP_7352,163,163,,,,1,2,3.2,Support,Night,Met
EMP_9856,192,174,2.59,5.59,92.19,0,11,4.4,Moderation,Day,Met
EMP_543,87,87,2.96,5.36,86.33,0,7,5.6,Ads,Night,Met
EMP_8610,104,104,5.69,13.74,83.02,1,2,8.6,QA,Day,Met
EMP_807,88,78,2.94,10.12,90.33,1,7,7.3,Support,Day,Met
EMP_7808,101,101,,,,5,10,1.9,Ads,Day,Met
EMP_2112,117,106,5.43,10.04,69.44,3,8,8.3,Moderation,Day,Breached
EMP_8032,132,132,3.98,2.53,72.02,4,10,7.8,Support,Night,Met
EMP_3429,193,166,3.64,1.39,91.4,8,9,8.6,Ads,Night,Met
EMP_6432,108,108,6.91,1.6,73.05,5,2,7.5,Support,Night,Met
EMP_9770,180,111,5.63,6.59,80.2,9,12,8.4,Moderation,Night,Breached
EMP_1856,181,172,2.61,3.36,88.7,1,6,6.1,Ads,Night,Met
EMP_2504,82,68,8.77,8.78,85.49,9,2,2.8,QA,Day,Breached
EMP_8859,184,100,8.84,2.92,97.39,4,3,3.3,QA,Day,Breached
EMP_2925,121,108,5.85,7.5,88.34,6,4,1.2,Ads,Day,Met
EMP_9685,102,102,2.71,11.36,97.73,8,9,2.0,Support,Night,Breached
EMP_3292,164,96,4.52,4.84,96.84,3,5,7.9,Ads,Day,Breached
EMP_2660,180,180,6.72,10.7,85.66,4,14,2.2,Support,Night,Breached
EMP_6929,90,90,4.83,11.15,91.57,6,3,2.3,QA,Day,Breached
EMP_2607,89,89,8.53,13.86,80.71,8,7,6.6,Ads,Night,Breached
EMP_9709,169,102,7.24,8.23,94.65,2,3,3.0,Moderation,Night,Breached
EMP_328,183,143,8.53,2.66,63.48,9,6,3.5,Ads,Night,Breached
EMP_158,116,116,,,,9,0,3.9,Ads,Day,Met
EMP_3983,95,95,4.65,9.13,70.43,8,2,8.7,Support,Day,Met
EMP_2401,133,133,7.8,14.92,79.45,2,2,3.6,Ads,Night,Breached
EMP_9222,96,66,2.5,8.55,74.84,5,10,6.1,Ads,Day,Breached
EMP_5608,143,128,3.61,4.55,72.36,6,8,9.5,Ads,Day,Met
EMP_8081,154,132,7.57,0.99,88.28,4,10,8.8,Support,Night,Breached
EMP_8038,122,122,8.15,3.41,63.85,6,9,10.0,Ads,Day,Breached
EMP_727,103,103,,,,8,5,5.1,Support,Night,Breached
EMP_9249,171,171,8.26,6.43,69.27,8,13,6.7,QA,Night,Breached
EMP_523,165,165,5.58,0.34,74.17,0,8,6.5,Moderation,Day,Met
EMP_6782,155,96,4.03,5.98,95.25,1,4,2.7,QA,Night,Breached
EMP_5419,146,109,5.49,13.14,96.59,9,13,9.0,QA,Night,Breached
EMP_4655,131,69,6.72,8.48,95.45,2,8,8.2,QA,Day,Breached
EMP_5931,86,86,,,,2,11,0.8,Support,Night,Breached
EMP_2252,86,86,8.59,13.33,97.76,8,1,0.8,QA,Day,Breached
EMP_3334,81,81,5.03,10.13,96.65,0,14,3.0,Moderation,Day,Breached
EMP_3492,175,130,6.38,5.1,84.9,7,8,7.9,QA,Night,Breached
EMP_3446,90,90,4.48,2.26,71.4,0,14,8.7,Ads,Day,Met
EMP_3979,91,91,2.41,14.87,88.92,6,4,6.1,Support,Night,Breached
EMP_7323,175,111,4.8,4.33,62.68,8,1,9.4,Support,Day,Breached
EMP_7616,132,104,5.07,6.79,80.17,7,3,1.5,Ads,Night,Met
EMP_8805,172,88,3.55,12.22,70.58,8,2,9.2,Ads,Night,Breached
EMP_8822,180,172,3.54,0.15,73.52,7,4,0.6,Moderation,Night,Met
EMP_885,184,82,6.87,10.5,68.02,0,5,2.4,Moderation,Night,Breached
EMP_291,134,85,7.65,4.25,72.42,4,14,3.8,Moderation,Night,Breached
EMP_9440,89,89,,,,6,4,2.4,QA,Night,Met
EMP_390,120,87,4.54,3.22,81.22,7,14,4.2,Moderation,Day,Breached
EMP_9739,112,112,6.16,2.5,98.64,1,6,2.5,Support,Night,Met
EMP_9224,121,121,,,,4,2,6.8,Ads,Night,Met
EMP_4968,184,91,4.17,11.17,94.36,5,10,9.9,Ads,Night,Breached
EMP_2695,185,101,7.23,6.66,85.93,5,14,3.8,QA,Day,Breached
EMP_9821,150,142,,,,6,14,4.5,QA,Day,Breached
EMP_3353,128,128,2.82,2.99,66.07,4,0,1.8,Moderation,Night,Breached
EMP_4436,180,64,,,,9,5,5.3,Moderation,Night,Breached
EMP_4397,142,115,8.12,0.68,93.9,8,12,8.7,QA,Day,Breached
EMP_3222,90,90,8.93,4.31,93.31,6,9,3.6,Moderation,Night,Breached
EMP_3360,162,162,7.69,6.17,67.25,9,11,3.5,QA,Day,Breached
EMP_9748,94,94,2.74,5.4,83.57,7,2,2.8,QA,Night,Met
EMP_677,153,153,2.54,5.27,77.21,7,2,2.3,QA,Night,Met
EMP_5083,86,86,3.63,0.8,66.32,9,8,4.3,Moderation,Night,Breached
EMP_5430,103,103,3.9,14.09,78.14,7,4,2.9,QA,Day,Breached
EMP_6725,134,60,4.37,10.31,70.94,6,7,2.2,QA,Day,Breached
EMP_5920,171,128,5.51,14.05,60.32,5,13,6.3,Moderation,Day,Breached
EMP_5308,172,140,5.87,2.2,79.63,5,10,2.1,Ads,Day,Met
EMP_4565,175,107,2.15,9.29,84.0,9,3,1.1,Moderation,Day,Breached
EMP_7442,197,197,4.07,2.68,70.95,4,4,5.1,QA,Night,Met
EMP_1038,130,92,2.16,8.99,97.99,2,9,3.1,Support,Night,Breached
EMP_2563,179,126,7.79,4.94,90.83,8,6,3.4,Moderation,Night,Breached
EMP_6248,171,134,6.87,1.12,88.27,3,4,8.9,Support,Day,Met
EMP_9833,127,65,4.74,8.24,84.75,0,13,3.9,Moderation,Night,Breached
EMP_4052,137,137,,,,0,11,4.9,Ads,Day,Met
EMP_3016,81,81,,,,8,6,9.0,QA,Day,Breached
EMP_1732,88,88,2.4,3.34,95.55,0,9,2.2,Support,Night,Met
EMP_2253,108,108,8.1,10.17,69.07,0,14,3.3,QA,Day,Breached
EMP_3411,174,174,2.45,12.93,98.31,3,10,9.3,Ads,Night,Breached
EMP_125,144,144,4.8,3.17,85.35,3,3,9.8,Ads,Day,Met
EMP_9366,134,113,4.71,3.67,66.24,1,4,5.0,Ads,Night,Breached
EMP_7807,174,164,6.05,0.89,87.35,5,9,5.7,Support,Day,Met
EMP_1391,157,107,3.4,5.49,72.63,8,9,7.3,Support,Night,Breached
EMP_9213,154,154,5.24,14.8,77.56,9,8,7.5,QA,Day,Breached
EMP_2265,177,139,6.39,13.36,63.84,8,14,3.7,Moderation,Night,Breached
EMP_6243,143,112,3.35,9.7,80.58,5,10,4.5,Moderation,Night,Breached
EMP_2914,101,101,7.08,1.75,67.74,3,7,8.5,QA,Day,Breached
EMP_9957,187,171,6.14,6.6,78.08,2,11,2.9,Support,Day,Met
EMP_7304,177,114,7.27,14.82,93.71,8,5,4.6,Support,Night,Breached
EMP_6461,121,121,5.0,1.0,71.62,2,9,4.0,QA,Day,Met
EMP_4870,154,145,8.94,6.44,63.91,4,6,9.7,Support,Day,Breached
EMP_4493,108,108,,,,0,3,1.9,Ads,Day,Met
EMP_4437,164,141,8.63,7.8,79.52,9,6,1.5,Support,Night,Breached
EMP_2753,168,151,7.51,5.94,76.06,5,3,1.1,Ads,Night,Breached
EMP_77,87,87,,,,0,11,8.3,Support,Day,Met
EMP_745,191,180,6.97,3.3,95.93,6,9,7.3,Moderation,Day,Met
EMP_9911,156,156,,,,0,0,5.9,Moderation,Day,Met
EMP_6011,166,157,6.25,11.47,98.8,0,8,9.4,Support,Night,Met
EMP_8586,139,113,2.41,7.89,74.02,6,3,4.0,Support,Night,Met
EMP_9769,115,114,5.66,1.89,73.85,0,10,6.5,Moderation,Night,Met
EMP_8205,156,156,7.79,10.59,77.05,5,6,1.3,Ads,Night,Breached
EMP_2942,97,97,3.8,13.82,86.22,1,14,9.9,Moderation,Night,Breached
EMP_457,176,132,6.12,7.31,81.96,1,11,1.5,Support,Day,Breached
EMP_4576,165,106,6.99,8.89,90.38,3,1,4.6,QA,Night,Breached
EMP_6258,82,82,3.18,1.86,76.84,7,8,7.3,QA,Night,Met
EMP_4368,109,109,7.91,0.7,96.54,6,13,3.4,Ads,Night,Breached
EMP_8261,102,102,7.19,3.44,94.23,9,7,7.7,QA,Night,Breached
EMP_5887,87,87,4.94,7.39,83.52,2,10,7.0,Support,Day,Met
EMP_3311,113,113,8.05,2.16,80.93,3,14,2.1,Moderation,Night,Breached
EMP_9591,137,137,3.37,10.63,83.31,0,3,0.5,Ads,Night,Met
EMP_5106,124,81,8.23,12.73,91.27,6,3,3.4,Moderation,Day,Breached
EMP_2585,168,118,4.08,9.7,97.94,4,6,2.6,Ads,Day,Breached
EMP_2860,157,152,4.72,1.79,93.5,4,6,9.1,Ads,Night,Met
EMP_5194,100,100,5.31,5.23,87.31,0,0,1.2,Support,Day,Met
EMP_7960,154,154,7.46,6.81,75.86,0,0,4.0,Support,Night,Breached
EMP_4098,125,110,2.91,1.54,90.13,8,2,2.1,Support,Night,Met
EMP_4762,183,110,2.86,8.84,62.57,5,6,8.1,Moderation,Night,Breached
EMP_844,171,105,3.32,3.64,75.05,4,4,4.1,Moderation,Day,Breached
EMP_9650,139,139,4.18,14.06,71.4,0,0,7.9,QA,Day,Met
EMP_2196,184,148,,,,2,12,3.0,Ads,Night,Breached
EMP_6112,128,128,6.56,0.76,77.88,1,10,8.8,Support,Night,Met
EMP_7042,191,161,5.63,10.13,74.92,9,5,8.6,Moderation,Night,Breached
EMP_6171,101,101,2.09,10.9,60.39,9,3,2.5,Ads,Day,Breached
EMP_139,114,114,4.3,5.47,83.59,4,11,4.0,Support,Day,Breached
EMP_1890,94,94,3.37,4.44,95.31,6,3,8.5,Ads,Day,Met
EMP_285,169,144,4.42,6.79,63.92,1,11,9.2,Ads,Day,Breached
EMP_5980,104,60,4.1,2.47,80.24,3,11,5.1,Moderation,Night,Breached
EMP_2778,80,80,7.83,12.39,77.2,5,11,5.3,Moderation,Day,Breached
EMP_7807,174,164,6.05,0.89,87.35,5,9,5.7,Support,Day,Met
EMP_1522,194,112,4.97,1.46,61.82,7,6,7.5,Moderation,Day,Breached
EMP_5252,83,83,3.7,0.7,62.87,6,1,3.5,QA,Night,Breached
EMP_8267,104,104,3.2,3.28,70.27,6,5,1.6,Ads,Day,Met
EMP_4234,125,125,5.86,12.55,66.49,1,11,2.4,Support,Night,Breached
EMP_3692,89,82,4.47,1.83,83.97,0,7,4.5,Support,Day,Met
EMP_144,182,158,4.48,11.93,99.58,9,14,8.9,QA,Day,Breached
EMP_2670,99,99,5.88,6.65,88.84,8,8,2.7,Support,Night,Breached
EMP_7584,145,145,8.44,10.05,68.81,9,10,8.0,Moderation,Day,Breached
EMP_5194,100,100,5.31,5.23,87.31,0,0,1.2,Support,Day,Met
EMP_4553,85,84,3.81,8.77,95.06,4,7,7.1,Ads,Day,Met
EMP_5000,107,107,5.5,7.65,84.15,8,11,2.9,Support,Day,Breached
EMP_4597,171,171,4.71,1.93,74.73,2,12,1.4,QA,Day,Met
EMP_4532,106,79,6.96,0.12,82.96,5,5,5.7,Moderation,Night,Breached
EMP_5733,118,86,2.44,13.76,98.89,7,4,8.2,Ads,Night,Breached
EMP_2302,98,98,6.04,3.39,69.9,9,12,2.1,Support,Day,Breached
EMP_1082,154,124,7.06,10.39,90.11,5,12,3.3,QA,Day,Breached
EMP_764,162,112,3.11,12.36,94.18,7,11,1.5,Support,Night,Breached
EMP_1024,84,65,,,,8,5,9.3,Support,Night,Met
EMP_4502,170,170,5.36,4.55,94.7,5,8,9.1,Support,Day,Met
EMP_7968,184,170,5.81,13.34,86.7,0,13,9.4,Moderation,Day,Breached
EMP_4017,129,129,6.96,4.37,77.24,2,8,9.5,QA,Night,Met
EMP_8419,130,130,3.12,0.64,90.59,4,14,4.4,QA,Night,Met
EMP_2827,116,99,5.68,12.06,80.5,3,4,4.5,QA,Night,Met
EMP_1045,177,101,5.27,12.27,81.04,0,8,7.3,Ads,Night,Breached
EMP_480,145,133,,,,0,3,8.3,Moderation,Night,Met
EMP_3062,91,91,2.47,10.73,72.94,2,6,1.9,Moderation,Day,Met
EMP_9842,136,136,3.63,4.29,89.33,1,2,6.3,Support,Night,Met
EMP_4082,198,129,7.25,4.42,89.21,6,1,8.6,Ads,Night,Breached
EMP_512,93,93,6.24,1.08,87.12,8,12,10.0,QA,Night,Breached
EMP_5868,198,137,4.3,7.58,66.42,1,6,0.5,Ads,Day,Breached
EMP_4625,143,99,3.43,13.09,85.73,1,12,8.2,Support,Day,Breached
EMP_470,137,137,4.91,12.39,66.85,2,0,8.8,Ads,Night,Breached
EMP_4154,152,123,8.96,5.5,60.58,4,6,9.5,Support,Night,Breached
EMP_9274,128,128,4.99,12.98,98.51,7,7,9.4,Ads,Day,Breached
EMP_2897,140,83,6.21,12.81,86.59,4,10,4.4,QA,Day,Breached
EMP_9357,102,74,4.17,5.49,98.33,9,13,2.5,Ads,Night,Breached
EMP_5416,178,78,8.51,5.73,85.6,3,6,6.8,QA,Day,Breached
EMP_7123,169,168,6.04,9.8,94.13,1,5,5.0,Support,Day,Met
EMP_3405,117,117,3.46,4.82,88.78,0,0,7.3,Ads,Day,Met
EMP_7391,137,137,3.86,4.42,63.88,6,9,1.0,QA,Day,Breached
EMP_1616,193,120,7.54,13.67,84.91,7,11,1.1,Support,Day,Breached
EMP_5951,84,84,3.89,11.68,68.85,3,8,9.6,Moderation,Night,Breached
EMP_8473,195,138,7.1,2.81,68.69,2,6,6.0,Moderation,Day,Breached
EMP_2335,195,123,5.5,14.57,62.77,2,6,2.8,Support,Night,Breached
EMP_5237,169,166,4.84,4.31,77.28,8,2,9.8,Ads,Night,Met
EMP_6170,87,69,3.13,10.74,83.83,1,10,5.9,Support,Night,Breached
EMP_9717,133,133,8.65,3.09,89.56,3,14,1.5,Moderation,Day,Breached
EMP_1053,131,126,3.36,3.8,72.24,7,14,3.6,Support,Night,Breached
EMP_5540,80,80,6.03,8.67,78.64,5,2,0.9,Support,Day,Met
EMP_9701,183,142,,,,3,11,9.7,Ads,Day,Breached
EMP_6036,164,164,7.84,11.7,65.88,8,7,7.2,Ads,Day,Breached
EMP_1353,184,145,8.37,11.88,73.63,9,5,3.7,QA,Day,Breached
EMP_690,160,90,6.48,13.35,62.08,3,8,8.7,QA,Night,Breached
EMP_7071,186,157,,,,7,10,3.7,Support,Day,Breached
EMP_6384,175,80,2.93,3.6,66.05,8,8,7.1,Ads,Day,Breached
EMP_1688,98,98,8.62,1.81,98.48,2,10,9.8,Ads,Day,Breached
EMP_1404,121,121,2.78,6.26,62.69,2,2,7.6,Moderation,Day,Breached
EMP_6700,118,97,,,,2,5,1.4,Support,Night,Met
EMP_9255,105,105,3.62,4.63,74.17,1,12,8.4,QA,Night,Met
EMP_111,159,133,2.72,4.58,87.58,4,6,3.9,Support,Night,Met
EMP_986,132,132,3.76,7.26,79.96,3,7,3.4,QA,Day,Met
EMP_7907,90,90,8.82,5.78,67.08,6,12,8.0,Support,Day,Breached
EMP_2909,124,124,6.09,10.42,96.35,0,12,8.7,Ads,Day,Breached
EMP_441,109,95,3.61,13.04,88.75,5,1,7.4,Support,Night,Met
EMP_8392,102,102,4.27,13.85,63.33,5,10,5.8,QA,Day,Breached
EMP_9609,159,142,5.19,1.4,75.38,3,9,3.8,QA,Night,Met
EMP_7032,166,157,4.51,0.55,98.0,9,4,7.9,Moderation,Day,Met
EMP_7307,102,66,5.26,5.79,67.84,7,4,8.2,Moderation,Night,Breached
EMP_9096,148,109,5.74,1.51,78.06,8,10,5.3,Ads,Day,Breached
EMP_7518,98,98,5.09,14.36,65.81,4,2,7.8,Support,Day,Breached
EMP_3682,126,69,8.38,9.8,85.29,4,11,8.1,QA,Night,Breached
EMP_6423,82,82,6.33,7.39,90.46,8,1,1.6,Support,Night,Met
EMP_6041,97,97,3.98,0.16,93.85,9,2,9.4,Ads,Day,Met
EMP_3654,127,127,,,,6,1,6.1,Moderation,Day,Met
EMP_4102,155,143,4.84,13.77,79.13,8,6,7.6,QA,Night,Breached
EMP_5131,163,163,4.41,4.56,99.31,4,9,6.2,Support,Day,Met
EMP_4896,90,90,6.06,0.15,90.52,7,7,8.2,Support,Night,Met
EMP_4845,93,82,8.0,9.25,81.73,4,10,2.3,Support,Day,Breached
EMP_1250,180,180,,,,3,8,1.5,Ads,Night,Breached
EMP_9067,163,85,8.19,6.15,66.14,5,11,1.4,Ads,Day,Breached
EMP_8653,95,95,2.98,11.64,86.16,4,10,9.4,QA,Night,Breached
EMP_9330,154,128,4.27,1.15,92.03,2,7,5.5,Ads,Night,Met
EMP_4635,100,98,6.94,8.19,85.03,3,14,1.2,QA,Day,Breached
EMP_6138,135,135,7.25,3.18,67.61,5,2,8.3,Support,Night,Breached
EMP_2070,185,152,5.97,9.63,72.21,8,2,0.9,Moderation,Night,Met
EMP_6625,143,91,,,,2,5,7.4,Moderation,Day,Breached
EMP_4673,130,94,5.0,9.2,83.69,7,1,0.9,Moderation,Night,Breached
EMP_8501,113,113,8.48,7.19,79.21,9,4,7.4,Moderation,Night,Breached
EMP_7149,180,151,5.92,13.5,73.69,7,12,2.8,Ads,Night,Breached
EMP_7845,87,87,6.08,13.69,83.12,5,11,5.5,Moderation,Night,Breached
EMP_2409,193,155,6.77,8.72,87.5,6,14,3.5,Moderation,Night,Breached
EMP_1178,143,78,7.26,14.97,75.37,9,13,0.8,Moderation,Night,Breached
EMP_644,98,98,6.08,2.34,70.41,0,9,8.6,Support,Day,Met
EMP_1635,166,120,4.67,2.91,80.6,5,14,2.6,Ads,Day,Breached
EMP_7816,80,80,7.18,10.42,90.82,3,10,3.8,Moderation,Day,Breached
EMP_4203,143,103,4.28,12.82,69.45,2,2,7.8,QA,Night,Breached
EMP_5925,90,90,2.86,9.65,92.41,4,13,3.5,Support,Day,Breached
EMP_5291,180,154,2.3,10.11,89.15,7,12,1.1,Ads,Night,Breached
EMP_8217,146,146,6.67,3.61,73.13,7,2,5.2,QA,Day,Met
EMP_1104,129,94,7.91,4.64,87.98,1,9,7.9,QA,Day,Breached
EMP_6492,150,69,8.43,7.14,71.11,0,13,1.0,Ads,Night,Breached
EMP_5401,195,94,5.4,0.17,99.42,2,12,8.3,Moderation,Day,Breached
EMP_7082,165,96,7.02,10.87,98.74,2,8,8.8,Ads,Day,Breached
EMP_2089,177,142,,,,6,12,0.8,Ads,Day,Breached
EMP_5871,117,73,6.15,1.59,63.66,7,9,1.5,QA,Night,Breached
EMP_9726,177,153,2.13,1.98,93.44,3,9,5.3,QA,Day,Met
EMP_3249,131,116,4.12,7.71,70.91,9,8,1.9,Moderation,Day,Breached
EMP_3371,122,122,4.0,6.52,76.31,9,3,9.1,Support,Night,Met
EMP_3492,175,130,6.38,5.1,84.9,7,8,7.9,QA,Night,Breached
EMP_4150,124,68,7.96,8.26,62.45,5,0,7.5,QA,Night,Breached
EMP_9439,120,120,8.3,3.9,97.26,3,11,0.7,Moderation,Night,Breached
EMP_1151,165,158,2.71,13.48,81.84,6,6,3.8,Ads,Night,Breached
EMP_3932,120,118,5.02,2.8,94.76,1,4,4.8,Support,Day,Met
EMP_9915,89,83,6.52,2.63,67.16,4,4,3.9,Moderation,Night,Breached
EMP_1460,148,148,8.9,0.0,61.82,3,8,8.9,Moderation,Day,Breached
EMP_3243,83,83,8.71,1.76,72.51,6,2,1.6,Ads,Day,Breached
EMP_158,116,116,,,,9,0,3.9,Ads,Day,Met
EMP_245,185,154,8.17,10.75,91.73,9,9,8.2,QA,Night,Breached
EMP_4623,197,75,4.42,11.04,61.55,1,11,8.8,QA,Day,Breached
EMP_902,95,95,4.67,3.3,97.15,0,1,8.1,Support,Day,Met
EMP_6937,162,162,2.38,13.84,93.65,6,5,5.7,Support,Day,Breached
EMP_1486,187,83,4.44,4.7,90.05,4,1,3.3,Moderation,Night,Breached
EMP_7660,121,119,4.65,6.9,83.11,6,6,6.9,Support,Night,Met
EMP_6818,170,139,8.1,5.08,99.45,7,6,5.3,QA,Day,Breached
EMP_3664,195,72,7.26,0.64,63.53,1,2,8.9,QA,Night,Breached
EMP_6306,190,151,,,,6,2,1.8,Ads,Day,Met
EMP_1959,121,111,4.53,6.46,86.59,0,7,9.6,Ads,Night,Met
EMP_6377,106,74,6.98,13.24,92.15,5,12,1.4,QA,Night,Breached
EMP_9993,178,99,3.9,3.44,71.57,9,13,0.7,QA,Night,Breached
EMP_6683,177,68,4.31,2.71,62.8,2,1,1.2,Moderation,Night,Breached
EMP_9428,198,78,8.86,1.87,67.9,8,6,0.5,QA,Night,Breached
EMP_4477,112,67,4.08,6.66,64.01,1,0,2.4,Ads,Day,Breached
EMP_9015,164,164,7.98,7.56,82.93,3,2,2.8,Ads,Night,Breached
EMP_2413,112,112,6.09,12.09,77.67,6,5,1.6,Support,Day,Breached
EMP_5044,195,189,,,,2,12,0.7,Moderation,Night,Met
EMP_5576,192,170,3.7,10.2,92.84,5,2,3.6,Support,Day,Met
EMP_5373,147,147,6.97,9.23,82.66,1,6,5.1,Ads,Night,Met
EMP_333,168,130,5.79,12.57,82.85,7,7,1.5,Ads,Day,Breached
EMP_9356,156,156,,,,6,0,6.7,Moderation,Day,Met
EMP_54,82,69,4.6,0.44,87.19,8,3,7.3,Moderation,Day,Met
EMP_9872,197,98,3.04,9.51,90.48,7,4,7.1,Support,Night,Breached
EMP_6011,166,157,6.25,11.47,98.8,0,8,9.4,Support,Night,Met
EMP_7900,118,118,7.55,0.15,82.53,0,12,7.2,Moderation,Night,Breached
EMP_7293,178,107,3.4,1.52,99.04,7,4,2.2,QA,Day,Breached
EMP_2782,168,84,4.14,11.71,60.59,4,6,6.5,QA,Day,Breached
EMP_2211,153,116,3.62,7.96,88.66,4,2,8.1,Support,Night,Met
EMP_2825,177,177,5.98,4.87,75.6,5,6,3.9,QA,Night,Met
EMP_4132,104,104,4.32,11.38,67.24,8,6,6.8,Moderation,Day,Breached
EMP_152,112,112,7.96,4.39,73.38,4,9,5.1,Support,Night,Breached
EMP_7751,100,100,,,,0,0,2.9,Support,Night,Breached
EMP_3318,172,146,6.26,1.74,79.33,6,1,3.2,Ads,Day,Met
EMP_5512,90,90,4.54,8.7,64.56,9,0,4.9,Support,Day,Breached
EMP_4990,124,102,7.52,4.65,82.29,5,8,8.4,Moderation,Day,Breached
EMP_7755,182,126,7.06,6.17,77.54,0,5,6.1,Support,Day,Breached
EMP_9607,102,102,4.25,10.75,77.94,0,5,6.8,Ads,Day,Met
EMP_5770,144,128,2.5,14.12,96.6,0,1,7.6,Support,Day,Met
EMP_6985,167,77,7.91,14.83,60.46,9,1,7.2,Ads,Night,Breached
EMP_4204,189,189,6.43,14.43,87.46,9,5,9.2,Support,Night,Breached
EMP_3301,192,165,4.67,12.29,90.96,5,7,4.0,Ads,Night,Breached
EMP_3405,117,117,3.46,4.82,88.78,0,0,7.3,Ads,Day,Met
EMP_6413,193,65,2.97,14.94,66.45,5,10,7.9,Ads,Night,Breached
EMP_1792,186,171,6.4,10.98,78.5,2,5,9.8,QA,Day,Met
EMP_2590,96,96,5.3,0.46,71.91,5,5,4.6,Moderation,Day,Met
EMP_1631,162,162,8.06,7.91,60.07,4,0,6.7,Moderation,Night,Breached
EMP_3415,152,152,5.3,4.32,87.88,7,8,1.9,Support,Night,Met
EMP_6206,139,139,,,,8,2,1.0,QA,Day,Met
EMP_925,142,142,6.51,0.71,67.8,5,9,0.8,Ads,Night,Breached
EMP_9573,163,148,,,,2,4,4.9,Ads,Day,Met
EMP_7315,172,168,4.0,6.3,68.01,1,8,3.8,Ads,Night,Breached
EMP_3344,100,100,2.32,3.11,96.47,1,6,1.1,Support,Night,Met
EMP_334,129,129,2.13,1.71,76.96,2,1,8.3,Moderation,Day,Met
EMP_5723,114,93,,,,7,3,8.0,Moderation,Day,Breached
EMP_6687,168,63,5.26,6.52,78.42,1,10,5.1,Support,Day,Breached
EMP_6751,111,83,6.8,7.24,77.3,9,8,4.4,Moderation,Night,Breached
EMP_8652,168,168,6.82,7.48,60.65,0,12,9.0,Ads,Day,Breached
EMP_9866,147,147,6.15,3.52,82.07,5,11,1.9,Ads,Night,Met
EMP_5881,181,111,6.48,4.67,83.76,2,9,7.7,Ads,Day,Breached
EMP_6883,88,88,4.07,10.57,97.16,1,8,5.7,Support,Night,Met
EMP_5338,169,72,4.64,7.4,93.84,4,3,7.5,Moderation,Night,Breached
EMP_3505,164,138,4.76,1.6,96.89,2,10,9.3,Support,Night,Met
EMP_7481,153,112,8.46,1.44,61.42,8,12,7.6,Support,Night,Breached
EMP_3447,89,86,4.49,10.65,84.91,7,1,9.0,QA,Day,Met
EMP_3707,121,121,4.92,3.48,63.67,5,6,4.0,QA,Day,Breached
EMP_8299,159,132,,,,7,5,4.9,Ads,Night,Breached
EMP_1680,86,79,3.74,0.32,88.36,6,12,1.5,QA,Day,Met
EMP_7840,160,71,3.94,7.13,64.55,6,7,8.4,QA,Day,Breached
EMP_2725,192,130,3.03,8.48,93.88,5,13,2.1,Support,Day,Breached
EMP_2694,129,125,8.54,7.75,86.36,0,6,6.2,QA,Day,Breached
EMP_2785,144,144,4.86,4.16,90.63,0,13,6.9,QA,Night,Met
EMP_4107,156,156,2.62,1.36,63.74,1,0,0.5,QA,Night,Breached
EMP_2065,88,76,5.37,2.38,69.8,2,14,4.6,QA,Night,Breached
EMP_2097,146,64,4.07,12.25,86.22,5,8,2.3,QA,Day,Breached
EMP_1994,84,84,5.38,3.2,88.02,1,4,1.7,Moderation,Day,Met
EMP_7151,80,80,5.98,1.43,86.45,6,10,8.5,QA,Day,Met
EMP_7550,166,166,8.0,1.85,83.4,2,8,2.8,Moderation,Night,Breached
EMP_97,113,113,4.42,9.54,86.23,3,1,8.5,Moderation,Night,Met
EMP_8546,99,99,3.51,10.51,90.04,5,5,7.4,Moderation,Night,Breached
EMP_3524,142,141,7.47,3.24,95.54,7,6,6.7,Moderation,Day,Breached
EMP_9046,158,148,4.84,8.08,97.84,4,4,2.0,Ads,Night,Met
EMP_7873,136,136,8.52,3.22,86.64,3,1,5.9,Support,Night,Breached
EMP_3522,135,116,6.61,6.14,65.7,5,2,9.8,QA,Day,Breached
EMP_1381,102,102,3.77,0.33,98.22,8,8,7.6,Support,Night,Met
EMP_966,138,138,5.16,4.43,61.87,9,0,9.9,Support,Night,Breached
EMP_4207,100,100,8.52,8.61,79.0,7,2,5.6,Ads,Day,Breached
EMP_8716,108,108,,,,1,3,1.4,Ads,Night,Met
EMP_3240,95,95,5.66,5.62,86.64,2,5,3.9,Moderation,Day,Met
EMP_7186,94,94,6.54,12.99,86.3,2,4,8.3,Ads,Day,Met
EMP_1138,127,73,6.17,7.79,66.95,1,7,1.8,Moderation,Night,Breached
EMP_4518,83,83,8.96,9.21,66.92,5,12,8.9,Support,Night,Breached
EMP_7499,106,106,,,,0,4,9.5,Moderation,Night,Met
EMP_7428,95,95,3.72,10.3,74.99,3,3,8.9,Moderation,Night,Met
EMP_4217,140,140,,,,1,0,2.5,Moderation,Night,Met
EMP_9326,146,146,2.52,4.88,64.38,9,7,6.3,Ads,Night,Breached
